group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_support,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
Hyperbolic,sinh,f256,sinh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,213.827,248.035,100,Both,208.969,220.138,100,Both,4.85809,0,1188.08,2116.6,1.78154,boost::multiprecision::mpfr_float_backend<64>,27.8976,4.85809,0,1.78154,yes,214.056,241.961,100,NaN,-0.228877,0,2560.31,2.15501
Hyperbolic,cosh,f256,cosh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,213.827,260.523,100,Both,209.001,223.494,100,Both,4.82584,0,1158.45,1773.06,1.53055,boost::multiprecision::mpfr_float_backend<64>,37.029,4.82584,0,1.53055,yes,213.954,249.487,100,NaN,-0.126482,0,2528.93,2.18304
Hyperbolic,tanh,f256,tanh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,217,302.277,100,Both,214.415,231.906,100,Both,2.58496,0,1137.94,1747.93,1.53604,boost::multiprecision::mpfr_float_backend<64>,70.3709,2.58496,0,1.53604,yes,216,294.494,100,Both,1,0,2469.33,2.16999
Inverse hyperbolic,asinh,f256,asinh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.322,275.56,100,Both,213.845,240.349,100,Both,0.477073,0,2165.09,5990.97,2.76707,boost::multiprecision::mpfr_float_backend<64>,35.2115,0.477073,0,2.76707,yes,6.56927,269.503,38.8353,NaN,207.753,61.1647,6887.17,3.18101
Inverse hyperbolic,acosh,f256,acosh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.715,280.475,100,Both,185.805,228.687,100,Both,28.9092,0,2077.01,5821.74,2.80294,boost::multiprecision::mpfr_float_backend<64>,51.7877,28.9092,0,2.80294,yes,6.56927,267.367,13.2776,NaN,208.145,86.7224,7089.63,3.41338
Inverse hyperbolic,atanh,f256,atanh,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,215,272.458,100,Both,166.3,229.95,100,Both,48.7004,0,1865.94,4233.82,2.269,boost::multiprecision::mpfr_float_backend<64>,42.5083,48.7004,0,2.269,yes,7.56927,266.465,80.6852,Both,207.431,19.3148,6925.47,3.71153
Special functions,erfc,f256,erfc,primary,primary,217,boost::multiprecision::mpfr_float_backend<64>,yes,197.334,244.004,97.2301,Both,214.185,237.108,100,Both,-16.8506,-2.76991,8241.32,26337.5,3.19578,boost::multiprecision::mpfr_float_backend<64>,6.89555,-16.8506,-2.76991,3.19578,no,-,-,-,-,-,-,-,-
Special functions,erf,f256,erf,primary,primary,217,boost::multiprecision::mpfr_float_backend<64>,yes,197.069,254.295,97.0863,Both,214.415,230.885,100,Both,-17.3464,-2.91373,8525.88,17852.5,2.09392,boost::multiprecision::mpfr_float_backend<64>,23.4103,-17.3464,-2.91373,2.09392,no,-,-,-,-,-,-,-,-
Special functions,tgamma,f256,tgamma,primary,primary,218,boost::multiprecision::mpfr_float_backend<64>,yes,202.583,222.842,96.297,Both,204.683,223.326,100,Both,-2.10037,-3.70299,8235.74,18267.5,2.21807,boost::multiprecision::mpfr_float_backend<64>,-0.484106,-2.10037,-3.70299,2.21807,no,-,-,-,-,-,-,-,-
Special functions,lgamma,f256,lgamma,primary,primary,218,boost::multiprecision::mpfr_float_backend<64>,yes,202.713,237.57,97.4838,Both,0,198.102,46.275,Both,202.713,51.2089,7172.31,20780.8,2.89737,boost::multiprecision::mpfr_float_backend<64>,39.4683,202.713,51.2089,2.89737,no,-,-,-,-,-,-,-,-
Comparisons,operator==,f256,operator==,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.13701,6.46759,3.02647,qdpp (qd_real),0,0,0,1.00198,yes,320,320,100,Both,0,0,2.14124,1.00198
Comparisons,operator!=,f256,operator!=,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.13651,6.34413,2.96939,qdpp (qd_real),0,0,0,1.05372,yes,320,320,100,Both,0,0,2.25128,1.05372
Comparisons,operator<,f256,operator<,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.33286,8.55827,3.66858,qdpp (qd_real),0,0,0,1.1405,yes,320,320,100,Both,0,0,2.66061,1.1405
Comparisons,operator>,f256,operator>,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.31938,8.6654,3.73608,qdpp (qd_real),0,0,0,0.960009,yes,320,320,100,Both,0,0,2.22663,0.960009
Comparisons,operator<=,f256,operator<=,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.36147,9.58874,4.06049,qdpp (qd_real),0,0,0,1.18456,yes,320,320,100,Both,0,0,2.79731,1.18456
Comparisons,operator>=,f256,operator>=,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,320,320,100,Both,320,320,100,Both,0,0,2.37515,10.2307,4.3074,qdpp (qd_real),0,0,0,1.10398,yes,320,320,100,Both,0,0,2.62211,1.10398
