group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_support,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
Floating-point utilities,nexttoward(type),f128,nexttoward,primary,primary,417,boost::multiprecision::cpp_double_double,yes,exact,160,100,Both,105.235,125.393,99.4249,Inf,exact,0.575071,8.31876,71.9362,8.64748,boost::multiprecision::cpp_double_double,exact,54.7649,0.575071,8.64748,no,-,-,-,-,-,-,-,-
Roots & powers,sqrt,f128,sqrt,primary,primary,418,boost::multiprecision::cpp_double_double,yes,105.098,147.717,99.8402,Both,105.098,147.717,99.8402,Both,0,0,4.42746,7.73776,1.74767,qdpp (dd_real),13.2331,0.991251,0.821826,1.26133,yes,104.107,134.484,99.0184,NaN,0.991251,0.821826,5.58449,1.26133
Roots & powers,cbrt,f128,cbrt,primary,primary,418,boost::multiprecision::cpp_double_double,yes,104.307,129.796,98.9849,Both,105.346,134.125,99.5092,Both,-1.0384,-0.524276,23.8066,444.803,18.684,qdpp (dd_real),17.0959,8.18421,25.0607,2.85855,yes,96.1231,112.7,73.9242,NaN,8.18421,25.0607,68.0523,2.85855
Roots & powers,hypot,f128,hypot,primary,primary,417,boost::multiprecision::cpp_double_double,yes,105.187,143.519,99.8525,Both,104.078,148.131,99.7344,Both,1.10915,0.118114,17.7306,63.9247,3.60533,boost::multiprecision::cpp_double_double,-4.61249,1.10915,0.118114,3.60533,no,-,-,-,-,-,-,-,-
Roots & powers,pow,f128,pow,primary,primary,422,boost::multiprecision::cpp_double_double,yes,100.497,123.652,94.6918,Both,94.0129,117.848,75.9211,No,6.48442,18.7707,163.431,523.66,3.20417,boost::multiprecision::cpp_double_double,5.80386,6.48442,18.7707,3.20417,yes,0,94.1268,91.4761,No,100.497,3.21577,239.601,1.46607
Exponentials,exp,f128,exp,primary,primary,418,boost::multiprecision::cpp_double_double,yes,104.17,127.61,99.1141,Both,0,116.78,93.9118,Both,104.17,5.20234,96.5512,371.053,3.84307,qdpp (dd_real),0.813197,104.17,9.51728,1.22763,yes,0,126.796,89.5969,Both,104.17,9.51728,118.529,1.22763
Exponentials,exp2,f128,exp2,primary,primary,418,boost::multiprecision::cpp_double_double,yes,105.949,146.604,99.7973,Both,98.1342,125.154,75.8476,Both,7.8152,23.9496,95.3917,835.959,8.76344,boost::multiprecision::cpp_double_double,21.4509,7.8152,23.9496,8.76344,no,-,-,-,-,-,-,-,-
Exponentials,expm1,f128,expm1,primary,primary,418,boost::multiprecision::cpp_double_double,yes,104.526,136.502,99.1377,Both,0,126.417,93.9417,Both,104.526,5.19601,103.94,396.789,3.81749,qdpp (dd_real),3.7537,104.526,19.785,1.15305,yes,-0,132.748,79.3527,NaN,104.526,19.785,119.848,1.15305
Logarithms,log,f128,log,primary,primary,418,boost::multiprecision::cpp_double_double,yes,105.351,132.357,99.5437,Both,102.305,116.029,79.2065,Both,3.04641,20.3372,121.185,421.204,3.47572,qdpp (dd_real),22.1595,5.33114,23.353,1.18746,yes,100.02,110.198,76.1907,NaN,5.33114,23.353,143.902,1.18746
Logarithms,log2,f128,log2,primary,primary,418,boost::multiprecision::cpp_double_double,yes,104.805,126.528,99.3691,Both,101.897,116.108,79.1419,Both,2.90844,20.2272,118.114,425.026,3.59845,boost::multiprecision::cpp_double_double,10.4193,2.90844,20.2272,3.59845,no,-,-,-,-,-,-,-,-
Logarithms,log10,f128,log10,primary,primary,418,boost::multiprecision::cpp_double_double,yes,105.148,128.551,99.3494,Both,102.642,104.075,78.0121,Both,2.50527,21.3373,116.868,422.656,3.61653,qdpp (dd_real),16.5773,5.15182,23.164,1.41178,yes,99.9959,111.974,76.1854,NaN,5.15182,23.164,164.991,1.41178
Logarithms,log1p,f128,log1p,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.201,133.434,99.7761,Both,101.103,109.512,98.7171,Both,4.09735,1.05894,119.343,519.757,4.35515,qdpp (dd_real),12.1472,104.201,22.2142,1.13397,yes,1,121.287,77.5619,NaN,104.201,22.2142,135.331,1.13397
Trigonometric,sin,f128,sin,primary,primary,427,boost::multiprecision::cpp_double_double,yes,106,143.844,100,Both,53.9392,93.5666,89.213,Both,52.0608,10.787,84.915,668.412,7.87154,qdpp (dd_real),48.3293,106,26.3192,1.48939,yes,0,95.5149,73.6808,Both,106,26.3192,126.472,1.48939
Trigonometric,cos,f128,cos,primary,primary,427,boost::multiprecision::cpp_double_double,yes,106.415,143.218,99.8778,Both,54.089,93.4938,89.2419,Both,52.326,10.6359,84.9759,658.221,7.74598,qdpp (dd_real),48.0153,106.415,26.2183,1.47759,yes,0,95.2031,73.6595,Both,106.415,26.2183,125.56,1.47759
Trigonometric,tan,f128,tan,primary,primary,420,boost::multiprecision::cpp_double_double,yes,103.855,117.592,99.1498,Both,52.9624,91.466,81.6497,Both,50.893,17.5001,98.8606,1320.28,13.355,qdpp (dd_real),24.4904,103.855,26.5933,1.6083,yes,0,93.1017,72.5565,No,103.855,26.5933,158.998,1.6083
Trigonometric,asin,f128,asin,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.356,127.698,99.8101,Both,103.61,113.019,99.0131,Both,1.74607,0.796954,161.096,2336.89,14.5062,qdpp (dd_real),11.3513,1.67807,0.788284,1.56367,yes,103.678,116.347,99.0218,No,1.67807,0.788284,251.902,1.56367
Trigonometric,acos,f128,acos,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.278,135.051,99.7236,Both,104.193,116.052,99.0835,Both,1.08578,0.640039,165.519,2245.67,13.5674,qdpp (dd_real),8.26921,1.27843,0.52097,1.54648,yes,104,126.781,99.2026,No,1.27843,0.52097,255.972,1.54648
Trigonometric,atan,f128,atan,primary,primary,418,boost::multiprecision::cpp_double_double,yes,105.651,147.951,99.9172,Both,105.637,133.348,99.8099,Both,0.0141807,0.10725,115.169,376.723,3.27104,qdpp (dd_real),1.39085,-0.178579,60.2782,1.66951,yes,105.83,146.561,39.639,No,-0.178579,60.2782,192.276,1.66951
Trigonometric,atan2,f128,atan2,primary,primary,416,boost::multiprecision::cpp_double_double,yes,106.236,148.572,99.9329,Both,105,119.724,45.8421,NaN,1.23646,54.0909,133.542,2086.18,15.622,qdpp (dd_real),12.5861,106.236,70.3181,1.46223,yes,0,135.986,29.6148,No,106.236,70.3181,195.268,1.46223
Hyperbolic,sinh,f128,sinh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,104.603,120.77,98.9946,Both,99.3632,107.896,46.7718,Both,5.23934,52.2229,107.493,386.984,3.60008,qdpp (dd_real),3.44669,0.427439,12.5517,1.31715,yes,104.175,117.323,86.4429,NaN,0.427439,12.5517,141.584,1.31715
Hyperbolic,cosh,f128,cosh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,104.529,123.39,99.0123,Both,99.3632,107.847,46.6229,Both,5.16568,52.3894,105.253,394.245,3.74568,qdpp (dd_real),-0.691705,0.307047,9.3132,1.3474,yes,104.222,124.082,89.6991,NaN,0.307047,9.3132,141.818,1.3474
Hyperbolic,tanh,f128,tanh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,106.678,149.314,100,Both,102.476,114.659,98.7729,Both,4.20163,1.22708,112.035,481.789,4.30033,qdpp (dd_real),0.724305,0.201634,9.76326,1.32969,yes,106.476,148.59,90.2367,Both,0.201634,9.76326,148.972,1.32969
Inverse hyperbolic,asinh,f128,asinh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.031,130.03,99.649,Both,101.744,121.409,98.4177,Both,3.28763,1.23129,127.88,563.159,4.40381,qdpp (dd_real),9.41389,104.031,60.2111,1.29433,yes,1,120.616,39.4379,NaN,104.031,60.2111,165.519,1.29433
Inverse hyperbolic,acosh,f128,acosh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.078,128.99,99.6866,Both,101.49,117.355,98.617,Both,3.5873,1.06962,127.359,520.489,4.08678,qdpp (dd_real),10.8095,104.078,87.0319,1.25099,yes,1,118.18,12.6548,NaN,104.078,87.0319,159.326,1.25099
