group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"to_string(small-exp, 31, fixed)",f256,"to_string(small-exp, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,998.15,1064.78,1.06675,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.06675,yes,exact,320,100,-,0,0,9899.98,9.91832
IO,"to_string(small-exp, 31, hexfloat)",f256,"to_string(small-exp, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,362.825,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 31, scientific)",f256,"to_string(small-exp, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,530.575,685.85,1.29265,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.29265,yes,106.261,319.786,89.9996,-,exact,10.0004,3026.65,5.70447
IO,"to_string(small-exp, 63, default)",f256,"to_string(small-exp, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,616.275,702.35,1.13967,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.13967,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 63, fixed)",f256,"to_string(small-exp, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,1713.83,1054.9,0.615524,boost::multiprecision::mpfr_float_backend<64>,0,0,0,0.615524,yes,exact,320,100,-,0,0,9826.02,5.73339
IO,"to_string(small-exp, 63, hexfloat)",f256,"to_string(small-exp, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,367.125,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 63, scientific)",f256,"to_string(small-exp, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,615.35,709.85,1.15357,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.15357,yes,209.707,317.19,99.7637,-,exact,0.236339,4854.55,7.88909
IO,"to_string(tiny, 15, default)",f256,"to_string(tiny, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,293.4,551.875,1.88096,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.88096,no,-,-,-,-,-,-,-,-
IO,"to_string(tiny, 15, fixed)",f256,"to_string(tiny, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,588.875,888.6,1.50898,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.50898,yes,exact,320,100,-,0,0,9677.2,16.4334
IO,"to_string(tiny, 15, hexfloat)",f256,"to_string(tiny, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,367.05,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
